"","wing_curvature","measured.hind.limbs..cm.","Humerus","Ulna","Mc.IV","Wg.ph.1","Wg.ph.2","Wg.ph.3","Wg.ph.4","Femur","Tibia"
"wing_curvature",1,0.133935876982642,-0.0771836279505042,-0.0501601095808761,0.0329500707827855,-0.0929450277659685,-0.267808248980358,-0.373651210723577,-0.400707145614442,0.113111062803442,0.15016495279637
"measured.hind.limbs..cm.",0.133935876982642,1,0.92805682612614,0.945375022491278,0.943592881442767,0.936510965182533,0.816992135657435,0.682747027114481,0.365846470887166,0.984720990267151,0.987616048379545
"Humerus",-0.0771836279505042,0.92805682612614,1,0.983342497135708,0.914023707086545,0.974404989710487,0.938459585563278,0.856971086434265,0.603926281110105,0.939699745353467,0.931772671004674
"Ulna",-0.0501601095808761,0.945375022491278,0.983342497135708,1,0.932242945318958,0.97965649165861,0.930057030774817,0.83863565893731,0.563755906918339,0.959636049763818,0.94657508881687
"Mc.IV",0.0329500707827855,0.943592881442767,0.914023707086545,0.932242945318958,1,0.945641082338711,0.842083091432744,0.70538764381932,0.313189697861784,0.955405507862432,0.950283951576108
"Wg.ph.1",-0.0929450277659685,0.936510965182533,0.974404989710487,0.97965649165861,0.945641082338711,1,0.948675103202903,0.856971538302175,0.54000052656383,0.946740607187225,0.937082410608734
"Wg.ph.2",-0.267808248980358,0.816992135657435,0.938459585563278,0.930057030774817,0.842083091432744,0.948675103202903,1,0.965323273394563,0.70359905173004,0.827791775375984,0.811047813068321
"Wg.ph.3",-0.373651210723577,0.682747027114481,0.856971086434265,0.83863565893731,0.70538764381932,0.856971538302175,0.965323273394563,1,0.800264997295272,0.694741577129395,0.674486692074902
"Wg.ph.4",-0.400707145614442,0.365846470887166,0.603926281110105,0.563755906918339,0.313189697861784,0.54000052656383,0.70359905173004,0.800264997295272,1,0.371574410492899,0.36019888467573
"Femur",0.113111062803442,0.984720990267151,0.939699745353467,0.959636049763818,0.955405507862432,0.946740607187225,0.827791775375984,0.694741577129395,0.371574410492899,1,0.989757738557686
"Tibia",0.15016495279637,0.987616048379545,0.931772671004674,0.94657508881687,0.950283951576108,0.937082410608734,0.811047813068321,0.674486692074902,0.36019888467573,0.989757738557686,1
