"species","clade","family","wingspan_cm","mass_kg","humerus_cm","ulna_cm","mc_iv_cm","wph1_cm","original_curvature","optimized_curvature","curvature_change","wing_area_cm2","wing_loading","aspect_ratio","stress_estimate","second_moment"
"Preondactylus_buffarinii","Basal pterosaur","Basal forms",42.8,0.03,3.2,4.2,1.4,3.6,0.15,0.3,0.15,78.4765841847098,37.5016322457802,5.83562606295532,15.5241004075991,4853.19830508527
"Austriadactylus_cristatus","Basal pterosaur","Basal forms",118.8,0.457,7.1,9.7,7.2,10.1,0.15,0.3,0.15,227.064478823008,197.44039328558,15.5390223001383,50.0869010934031,101386.560924166
"Eudimorphodon_ranzii","Non-breviquartossan","Eudimorphodontoidea",38.7,0.023,2.6,3.4,9.3,3.3,0.14,0.29,0.15,35.3368180567321,63.8512498883625,10.5958182029541,19.6156251586295,3358.4048517662
"Yelaphomte_praderioi","Non-breviquartossan","Eudimorphodontoidea",69.2,0.109,4.5,6.1,3,5.9,0.14,0.29,0.15,77.7256515130333,137.572343130594,15.4023797381648,35.0539708346949,11945.1580297696
"Raeticodactylus_filisurensis","Non-breviquartossan","Eudimorphodontoidea",114.5,0.414,7.9,10.2,4.8,10.5,0.14,0.29,0.15,224.613461304679,180.814630450441,14.5920127892697,47.3343009070538,94395.8178773281
"Carniadactylus_rosenfeldi","Non-breviquartossan","Novialoidea",41,0.027,2.6,3.5,9.8,3.9,0.14,0.29,0.15,49.3366745629108,53.6862288240071,8.51800417687506,18.3947535575809,5135.10308696568
"Austriadraco_dallavecchiai","Non-breviquartossan","Eudimorphodontoidea",70.8,0.115,4,5.7,4.5,5.3,0.14,0.29,0.15,74.1918271606694,152.058527626889,16.8908092435325,36.9986222617768,11691.8774722193
"Seazzadactylus_venieri","Non-breviquartossan","Eudimorphodontoidea",69.6,0.11,4.4,5.5,2.7,6.1,0.14,0.29,0.15,58.75795455224,183.651729918645,20.6106561950399,40.4528490679512,9195.52545166631
"Arcticodactylus_cromptonellus","Non-breviquartossan","Eudimorphodontoidea",24.8,0.007,1.8,2,0.8,2.4,0.14,0.29,0.15,10.5869085720237,64.8631274491808,14.5235976067949,17.0200480159455,217.573627195492
"Caelestiventus_hanseni","Basal pterosaur","Dimorphodontidae",202.5,1.886,14,18.9,6.8,16.7,0.15,0.3,0.15,939.873788785394,196.852601070084,10.9073820573805,59.6047533018648,1209043.61175438
