"clade","n","mean_curvature","sd_curvature","mean_stress","sd_stress","mean_wing_loading","sd_wing_loading","n_measured","n_predicted"
"Azhdarchoidea",47,0.916708760188738,0.557114296731393,0.00116582632292577,0.00290559987286711,231.251924072394,102.865073368155,47,0
"Ornithocheiromorpha",41,0.421565250521096,0.179047627931274,3.01732928716062,4.97421539934314,397.908279158247,157.217987021576,41,0
"Ctenochasmatoidea",22,0.605332853786835,0.457599268462343,6.41383548218698e-05,8.81308383537556e-05,178.619746766195,53.6152607530516,22,0
"Rhamphorhynchidae",18,0.377171192258203,0.0323237031373565,0.200340111833065,0.300980561054817,143.573838011117,66.0078621060558,18,0
"Pteranodontia",12,0.341270930309837,0.0542933687937534,5.70459599311384,10.299568692192,584.062542066077,176.562352569831,12,0
"Anurognathidae",9,0.465465687996071,0.026321018199543,0.00145190956135613,0.00209535374758966,61.3567427147642,22.6124210299755,9,0
"Dsungaripteroidea",8,0.508637355982375,0.0899335560933166,3.21402104522312e-05,4.50056352197551e-05,193.724310663725,74.0845689771052,8,0
"Non-breviquartossan",8,0.397072282653877,0.0639663267513154,0.0223820177877805,0.043284270637543,100.987195535276,58.8746307739448,8,0
"Basal pterosaur",6,0.6370012475115,0.504433972229596,0.16727870938441,0.361010109876824,92.560763281691,38.8597628317673,6,0
"Darwinoptera",6,0.575515429555115,0.41161333983032,0.0315952318047952,0.0385099680766064,83.2935974383329,43.5896656729785,6,0
"basal pterodactyloidea",5,0.716379944476198,0.56508225553463,7.58367444317805e-06,9.99687887774553e-06,97.2881640345816,46.3111067682839,5,0
