"species","aspect_ratio","second_moment","wing_loading","von_mises_stress","wing_curvature","Order","clade","family","Environment","Diet.1","Diet.2","Wingspan_cm","PC1","PC2","biomechanically_viable"
"Preondactylus buffarinii",6.2,440054614.405545,43.7946428571429,0.00659802440415873,1.42735832694677,"Non Pterodactyliform","Basal pterosaur","Basal forms","Coastal environment","Insectivore","Piscivore",42.8,-1.76797927429162,-0.859078523505658,TRUE
"Austriadactylus cristatus",8.7,1731668050.0822,136.890687022901,0.0789950157426252,2.06852814773889,"Non Pterodactyliform","Basal pterosaur","Basal forms","Coastal environment","Insectivore","Piscivore",118.8,-0.153715347982003,-0.977441598768678,TRUE
"Dimorphodon macronyx ",6.5,845626437315456,96.8143060161061,7.8503705110313e-06,1.52155670226361,"Non Pterodactyliform","Basal pterosaur","Dimorphodontidae","Terrestrial environment","Carnivore","Piscivore",133.7,-1.87159009113282,0.339386225613975,TRUE
"Peteinosaurus zambelli",6.6,670826922.792529,51.6882546652031,0.00972249945147728,1.27574685186116,"Non Pterodactyliform","Basal pterosaur","Dimorphodontidae","Coastal to terrestrial environment","Insectivore","Piscivore",50.9,-1.79854251781032,-0.852341018387419,TRUE
"Caelestiventus hanseni",6.6,1487414973.5061,131.469196333404,0.695900145217684,1.71657469060652,"Non Pterodactyliform","Basal pterosaur","Dimorphodontidae","Terrestrial environment","Carnivore","Piscivore",202.5,-1.03054647089646,-0.637636517623341,TRUE
"Rhamphinion jenkinsi",6.7,1153130990201436,94.707492795389,4.85605964805196e-06,1.61713026053183,"Non Pterodactyliform","Basal pterosaur","Dimorphodontidae","Terrestrial environment","Carnivore","Insectivore",126.2,-1.87811979926626,0.70478910992509,TRUE
"Anurognathus ammoni",6.7,27014037987.6921,40.875,0.000218980324884979,1.2077762944879,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Coastal to terrestrial environment","Insectivore","Piscivore",40.6,-1.87417700182854,-0.877660532415833,TRUE
"Vesperopterylus lamadongensis",7.5,27014037987.6921,83.8461538461538,0.00386410241723428,1.2077762944879,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Terrestrial environment","Insectivore","Piscivore",88.7,-1.54084744260519,-0.851383748612571,TRUE
"Batrachognathus volans",8.5,27014037987.6921,53.1576354679803,0.000304634906303138,1.2077762944879,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Terrestrial environment","Insectivore","Carnivore",44.5,-1.35581462275524,-1.02254516912913,TRUE
"Cascocauda rong",7.1,27014037987.6921,40.4536082474227,0.000195165488491653,1.2077762944879,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Terrestrial environment","Insectivore","Carnivore",39.2,-1.76760054846897,-0.917435559469092,TRUE
"Dendrorhynchoides curvidentatus",7.5,27014037987.6921,56.0199203187251,0.000436197356134564,1.2077762944879,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Terrestrial environment","Insectivore","Carnivore",48.9,-1.61730426014848,-0.918750247341003,TRUE
"Jeholopterus ningchengensis",9.5,27014037987.6921,90.4719710669078,0.00250105569244341,1.2077762944879,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Terrestrial environment","Insectivore","Piscivore",78.8,-0.984254707294107,-1.02945106827995,TRUE
"Luopterus mutoudengensis",9,27014037987.6921,54.3562005277045,0.000162492694659345,1.2077762944879,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Terrestrial environment","Insectivore","Carnivore",37.3,-1.21789331932768,-1.06813381889123,TRUE
"Sinomacrops bondei",7.4,1482167098.75805,37.5088235294118,0.000758914263670237,1.73711531418016,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Terrestrial environment","Insectivore","Carnivore",31.5,-1.1352797364059,-1.04457671590405,TRUE
"Dimorphodon weintraubi",6.4,845626437315456,95.5213714285714,1.20223192753314e-05,1.52155670226361,"Non Pterodactyliform","Anurognathidae","Anurognathidae","Terrestrial environment","Insectivore","Piscivore",150.2,-1.90205531642968,0.345969324406788,TRUE
"Campylognathoides liasicus",9.3,2150199808.15639,149.710843373494,0.0246747075698457,2.17152664144595,"Non Pterodactyliform","Non-breviquartossan","Novialoidea","Coastal environment","Piscivore","Durophageous",91.5,0.145123263018618,-1.03030511228385,TRUE
"Campylognathoides zitteli",9.3,3832883605.84703,221.370394736842,0.126901899649372,2.16542934838049,"Non Pterodactyliform","Non-breviquartossan","Novialoidea","Coastal environment","Piscivore","Durophageous",161.2,0.347014571160018,-0.842321630989838,TRUE
"Eudimorphodon ranzii",8.9,2392397918.96014,63.3792134831461,0.00103469324604523,2.00838314617286,"Non Pterodactyliform","Non-breviquartossan","Eudimorphodontoidea","Coastal to terrestrial environment","Carnivore","Durophageous",38.7,-0.373845404752872,-1.17436510537874,TRUE
"Carniadactylus rosenfeldi",9.3,3120189633.09914,68.2654639175258,0.00101040566209696,2.15224468969378,"Non Pterodactyliform","Non-breviquartossan","Novialoidea","Coastal to terrestrial environment","Carnivore","Durophageous",41,-0.100710745018731,-1.2261268517805,TRUE
"Carniadactylus rosenfeldi",9.3,3120189633.09914,68.2654639175258,0.00101040566209696,2.15224468969378,"Non Pterodactyliform","Non-breviquartossan","Novialoidea","Coastal to terrestrial environment","Carnivore","Durophageous",58,-0.100710745018731,-1.2261268517805,TRUE
"Carniadactylus rosenfeldi",9.3,3120189633.09914,68.2654639175258,0.00101040566209696,2.15224468969378,"Non Pterodactyliform","Non-breviquartossan","Eudimorphodontoidea","Coastal to terrestrial environment","Carnivore","Durophageous",41,-0.100710745018731,-1.2261268517805,TRUE
"Carniadactylus rosenfeldi",9.3,3120189633.09914,68.2654639175258,0.00101040566209696,2.15224468969378,"Non Pterodactyliform","Non-breviquartossan","Eudimorphodontoidea","Coastal to terrestrial environment","Carnivore","Durophageous",58,-0.100710745018731,-1.2261268517805,TRUE
"Austriadraco dallavecchiai",8.1,4020345166.54909,92.5471698113208,0.00640243374642791,1.90779386885781,"Non Pterodactyliform","Non-breviquartossan","Eudimorphodontoidea","Coastal to terrestrial environment","Carnivore","Durophageous",70.8,-0.615265480408219,-1.00867429550468,TRUE
"Seazzadactylus venieri",9.2,2330721920.69664,104.66537342386,0.0083737159113728,2.16727656405897,"Non Pterodactyliform","Non-breviquartossan","Eudimorphodontoidea","Coastal to terrestrial environment","Insectivore","Piscivore",69.6,-0.0113880484104271,-1.13048589877775,TRUE
"Arcticodactylus cromptonellus",7,1778482995.25491,39.6936416184971,0.000271625964823507,1.75245581167494,"Non Pterodactyliform","Non-breviquartossan","Eudimorphodontoidea","Terrestrial environment","Insectivore","Piscivore",24.8,-1.22088606187521,-1.00327540634533,TRUE
"Dorygnathus banthensis",7.9,2708191486.21279,115.264121235977,0.090820233790685,1.74955397571012,"Non Pterodactyliform","Rhamphorhynchidae","Rhamphorhynchinae","Coastal environment","Piscivore","Insectivore",131.3,-0.763966247862666,-0.895332535635608,TRUE
