Order;clade;family;SPECIES (Smyth);SPECIES (Pegas);SPECIES (Andres);Image_files_names;Specimen number;Ontogenetic stages;DSV ;measured hind limbs (cm);mass estimate (kg3);Wing length  (cm);Wingspan  (cm);Humerus ;Ulna;Pteroid;Mc IV;Wg ph 1;Wg ph 2;Wg ph 3;Wg ph 4;Femur ;Tibia;Mt III;Propatagium     (EWM)       (one wing section);Brachiopatagium (EWM)                           (one wing section);Cruropatagium (EWM)                           (one wing section);Propatagium  % (EWM);Brachiopatagium % (EWM);Cruropatagium % (EWM);W.B A.R 1 (EWM)                              (one wing section);W.B A.R 2 (EWM)                              (one wing section);A.R 1 (EWM)                              (one wing section);A.R 2 (EWM)                              (one wing section);Inner wing area (EWM)             (one wing section) (cm2);Outer wing area(EWM)             (one wing section) (cm2);Inner wing % (EWM)             (one wing section);Outer wing %(EWM)             (one wing section);Total wing area (EWM)             (one wing section);Wing area  (cm2 (EWM));WAR (wingspan(EWM));AR_2/AR_1;Wing loading (EWM);Last Appearance;First Appearance;Midpoint;Stage name;Period Name;Flight category;Environment;Depositional settings/paleoenvironment;Diet 1;Diet 2
Non Pterodactyliform;Basal pterosaur;Basal forms;Preondactylus buffarinii;Preondactylus buffarinii;Preondactylus buffarinii;Out_Preondactylus_buffarinii.jpg;MFSN 1770;Mature;13.38;7.65;0.030;21.42;42.8;3.2;4.2;2.6;1.4;3.6;3.9;3.9;2.8;3.3;4.4;1.6;9;124;16;6;83;11;12.0;10.3;1.8;2.1;67.2;81.4;45.2;54.7;148.7;297.4;6.2;0.86;10.19;212.000000;215.560000;213.78;middle Norian (Alaunian);Late Triassic;Aerial hawking;Coastal environment;Coastal/Shallow marine;Insectivore;Piscivore
Non Pterodactyliform;Basal pterosaur;Basal forms;Austriadactylus cristatus;Austriadactylus cristatus;Austriadactylus cristatus;Out_Austriadactylus_cristatus.jpg;SMNS 56342;Mature;13.7;14.000;0.457;59.40;118.8;7.1;9.7;2.7;7.2;10.1;10.1;10.4;8.2;5.8;8.0;3.5;39.2;719.5;54.4;5;88;7;24.3;21.0;2.4;2.8;327.5;485.6;40.3;59.7;813.1;1626.2;8.7;0.86;28.09;205.600000;212.000000;208.8;upper Norian (Sevatian);Late Triassic;Flap-glidding;Coastal environment;Coastal/Shallow marine;Insectivore;Piscivore
Non Pterodactyliform;Basal pterosaur;Dimorphodontidae;Dimorphodon macronyx ;Dimorphodon macronyx ;Dimorphodon macronyx ;Out_Dimorphodon_macronyx .jpg;NHMUK 41212 ;Mature;16.3;22.000;0.625;66.83;133.7;9.3;12.5;3.6;4.2;10.2;11.3;12.7;10.1;8.7;13.3;3.8;78.3;1148.7;149.8;6;83;11;34.3;28.9;1.9;2.3;633.3;743.5;46.0;54.0;1376.8;2753.7;6.5;0.84;22.70;199.500000;201.400000;200.45;Hettangian;Early Jurassic;Aerial hawking;Forested wetland environment;Fluviodeltaic;Carnivore;Piscivore
Non Pterodactyliform;Basal pterosaur;Dimorphodontidae;Peteinosaurus zambelli;Peteinosaurus zambelli;Peteinosaurus zambelli;Out_Peteinosaurus_zambelli.jpg;MCSNB 3359;Mature;6.6;8.500;0.048;25.46;50.9;3.9;4.9;1.5;1.7;3.9;4.4;4.8;3.6;3.7;4.8;1.7;10.6;167.1;17.8;5;85;9;13.3;11.2;1.9;2.3;91.1;104.4;46.6;53.4;195.5;391.0;6.6;0.84;12.27;212.000000;215.560000;213.78;middle Norian (Alaunian);Late Triassic;Burst-flapping;Coastal environment;Coastal/Shallow marine;Insectivore;Piscivore
Non Pterodactyliform;Basal pterosaur;Dimorphodontidae;Caelestiventus hanseni;Caelestiventus hanseni;Caelestiventus hanseni;Out_Caelestiventus_hanseni.jpg;BYU 20707;Mature;28.7;31.320;1.886;101.23;202.5;14.0;18.9;6.7;6.8;16.7;17.6;20.1;12.2;12.7;18.7;10.1;150.6;2704.0;248.5;5;87;8;53.6;45.4;1.9;2.2;1407.3;1695.8;45.4;54.6;3103.1;6206.2;6.6;0.85;30.39;190.000000;220.000000;205;Rhaetian;Late Triassic;Flap-glidding;Semi-arid floodplain;playa;Carnivore;Piscivore
Non Pterodactyliform;Basal pterosaur;Dimorphodontidae;Rhamphinion jenkinsi;Rhamphinion jenkinsi;Rhamphinion jenkinsi;Out_Rhamphinion_jenkinsi.jpg; MNA.V.4500;Mature;17.0;20.400;0.536;63.10;126.2;9.0;12.0;3.9;4.2;10.2;11.0;12.4;8.6;8.3;12.1;5.2;60.5;1029.8;104.9;5;86;9;32.7;27.5;1.9;2.3;555.2;640.0;46.5;53.5;1195.2;2390.4;6.7;0.84;22.44;183.000000;196.500000;189.8;Pliensbachian;Early Jurassic;Aerial hawking;Semi-arid floodplain;playa;Carnivore;Insectivore
Non Pterodactyliform;Anurognathidae;Anurognathidae;Anurognathus ammoni;Anurognathus ammoni;Anurognathus ammoni;Out_Anurognathus_ammoni.jpg;BSP 1922;Mature;4.7;6.600;0.026;20.31;40.6;3.2;4.6;0.6;1.1;5.8;4.1;3.0;;2.7;3.9;1.8;8.3;103.0;11.6;7;84;9;10.5;8.4;1.9;2.4;62.4;60.6;50.7;49.3;123.0;245.925;6.7;0.80;10.69;147.100000;149.200000;148.15;lower Tithonian;Late Jurassic;Aerial hawking;Archipelago;Coastal/Shallow marine;Insectivore;Piscivore
Non Pterodactyliform;Anurognathidae;Anurognathidae;Vesperopterylus lamadongensis;Vesperopterylus lamadongensis;Vesperopterylus lamadongensis;Out_Vesperopterylus_lamadongensis.jpg;BMNHC-PH-001311;Mature;11.5;12.000;0.210;44.35;88.7;6.5;8.6;1.3;3;10.8;8.9;6.8;2.5;4.7;7.3;5.2;31.2;457.0;38.8;6;87;7;20.6;17.3;2.1;2.6;245.7;281.3;46.6;53.4;527.0;1053.940;7.5;0.84;19.93;118.900000;122.000000;120.45;latest Barremian–early Aptian ;Early Cretaceous;Aerial hawking;Forested wetland environment;Lacustrine: large lake;Insectivore;Piscivore
Non Pterodactyliform;Anurognathidae;Anurognathidae;Batrachognathus volans;Batrachognathus volans;Batrachognathus volans;Out_Batrachognathus_volans.jpg;PIN 52-2;Mature;6.6;6.300;0.033;22.23;44.5;3.8;5.0;0.8;1.8;5.4;3.9;2.8;2.3;2.9;3.4;1.8;9.8;97.9;8.3;8;84;7;8.8;7.1;2.5;3.1;60.9;55.1;52.5;47.5;116.0;232.011;8.5;0.81;14.41;154.800000;161.500000;158.15;Oxfordian ;Late Jurassic;Aerial hawking;Forested wetland environment;Lacustrine: small lake;Insectivore;Carnivore
Non Pterodactyliform;Anurognathidae;Anurognathidae;Cascocauda rong;Cascocauda rong;Cascocauda rong;Out_Cascocauda_rong.jpg;NJU-57003;Mature;5.1;5.400;0.024;19.61;39.2;2.9;5;0.6;0.8;5.2;4.5;2.1;0.5;2.4;3;2.2;7.9;91.4;8.7;7;85;8;7.7;6.0;2.5;3.3;58.2;49.8;53.9;46.1;108.0;216.018;7.1;0.77;11.09;154.800000;161.500000;158.15;Oxfordian ;Late Jurassic;Aerial hawking;Forested wetland environment;Lacustrine: small lake;Insectivore;Carnivore
